month,year,quarter,channel,spend,impressions,clicks,conversions,cac,budget_share
2022-01,2022,Q1,Paid Social,10410.21,2884015.0,69837.0,247,42.0,52.0
2022-01,2022,Q1,Google Ads,6537.01,2137990.0,24324.0,172,38.0,28.0
2022-01,2022,Q1,Organic,736.47,238259.0,6538.0,92,8.0,5.0
2022-01,2022,Q1,Email,1166.59,371112.0,8389.0,194,6.0,7.0
2022-01,2022,Q1,Referral,1477.56,269102.0,4221.0,105,14.0,5.0
2022-02,2022,Q1,Paid Social,10954.62,2617201.0,70047.0,260,42.0,52.0
2022-02,2022,Q1,Google Ads,6027.57,1556452.0,28087.0,158,38.0,28.0
2022-02,2022,Q1,Organic,674.33,115637.0,1036.0,84,8.0,5.0
2022-02,2022,Q1,Email,1066.69,318854.0,5130.0,177,6.0,7.0
2022-02,2022,Q1,Referral,1483.15,456618.0,12486.0,105,14.0,5.0
2022-03,2022,Q1,Paid Social,10067.18,2590184.0,28651.0,239,42.0,52.0
2022-03,2022,Q1,Google Ads,6274.4,1100153.0,29513.0,165,38.0,28.0
2022-03,2022,Q1,Organic,725.53,188785.0,1533.0,90,8.0,5.0
2022-03,2022,Q1,Email,1181.53,215015.0,4604.0,196,6.0,7.0
2022-03,2022,Q1,Referral,1466.82,412980.0,6857.0,104,14.0,5.0
2022-04,2022,Q2,Paid Social,11827.66,3097560.0,64033.0,258,0.0,52.0
2022-04,2022,Q2,Google Ads,5872.42,1036773.0,16582.0,141,41.42,28.0
2022-04,2022,Q2,Organic,749.57,133623.0,1384.0,85,8.72,5.0
2022-04,2022,Q2,Email,1123.9,363271.0,7873.0,171,6.54,7.0
2022-04,2022,Q2,Referral,1347.05,361867.0,6655.0,88,15.26,5.0
2022-05,2022,Q2,Paid Social,10425.38,1832039.0,46994.0,227,45.78,52.0
2022-05,2022,Q2,Google Ads,6038.7,1453478.0,40663.0,145,41.42,28.0
2022-05,2022,Q2,Organic,700.09,175095.0,3226.0,80,8.72,5.0
2022-05,2022,Q2,Email,1008.04,280161.0,5595.0,154,0.0,7.0
2022-05,2022,Q2,Referral,1518.78,286071.0,6128.0,99,15.26,5.0
2022-06,2022,Q2,Paid Social,11035.82,3667266.0,47455.0,241,45.78,52.0
2022-06,2022,Q2,Google Ads,5726.57,1499855.0,16940.0,138,41.42,28.0
2022-06,2022,Q2,Organic,711.3,208346.0,5642.0,81,8.72,5.0
2022-06,2022,Q2,Email,1192.64,313505.0,8664.0,182,6.54,7.0
2022-06,2022,Q2,Referral,1382.14,379684.0,8003.0,90,15.26,5.0
2022-07,2022,Q3,Paid Social,11188.26,3011904.0,47710.0,224,49.9,52.0
2022-07,2022,Q3,Google Ads,6575.95,1449508.0,31092.0,145,0.0,28.0
2022-07,2022,Q3,Organic,663.31,199696.0,3402.0,69,9.5,5.0
2022-07,2022,Q3,Email,1139.69,290257.0,5001.0,159,7.13,7.0
2022-07,2022,Q3,Referral,1366.6,381325.0,3111.0,82,16.63,5.0
2022-08,2022,Q3,Paid Social,,,,226,49.9,52.0
2022-08,2022,Q3,Google Ads,6662.75,2056761.0,29500.0,147,45.15,28.0
2022-08,2022,Q3,Organic,753.68,201442.0,1740.0,79,9.5,5.0
