product_id,date,stock_level,units_sold,stockout_flag
P001,2022-01-01,554,6,0
P001,2022-01-02,545,9,0
P001,2022-01-03,541,4,0
P001,2022-01-04,536,5,0
P001,2022-01-05,531,5,0
P001,2022-01-06,526,5,0
P001,2022-01-07,521,5,0
P001,2022-01-08,516,5,0
P001,2022-01-09,509,7,0
P001,2022-01-10,505,4,0
P001,2022-01-11,501,4,0
P001,2022-01-12,496,5,0
P001,2022-01-13,489,7,0
P001,2022-01-14,485,4,0
P001,2022-01-15,478,7,0
P001,2022-01-16,472,6,0
P001,2022-01-17,467,5,0
P001,2022-01-18,461,6,0
P001,2022-01-19,456,5,0
P001,2022-01-20,451,5,0
P001,2022-01-21,446,5,0
P001,2022-01-22,435,11,0
P001,2022-01-23,424,11,0
P001,2022-01-24,420,4,0
P001,2022-01-25,416,4,0
P001,2022-01-26,409,7,0
P001,2022-01-27,406,3,0
P001,2022-01-28,401,5,0
P001,2022-01-29,393,8,0
P001,2022-01-30,388,5,0
P001,2022-01-31,381,7,0
P001,2022-02-01,653,8,0
P001,2022-02-02,648,5,0
P001,2022-02-03,641,7,0
P001,2022-02-04,637,4,0
P001,2022-02-05,628,9,0
P001,2022-02-06,622,6,0
P001,2022-02-07,614,8,0
P001,2022-02-08,608,6,0
P001,2022-02-09,603,5,0
P001,2022-02-10,596,7,0
P001,2022-02-11,588,8,0
P001,2022-02-12,576,12,0
P001,2022-02-13,566,10,0
P001,2022-02-14,561,5,0
P001,2022-02-15,553,8,0
P001,2022-02-16,545,8,0
P001,2022-02-17,540,5,0
P001,2022-02-18,535,5,0
P001,2022-02-19,522,13,0
P001,2022-02-20,512,10,0
P001,2022-02-21,504,8,0
P001,2022-02-22,500,4,0
P001,2022-02-23,493,7,0
P001,2022-02-24,485,8,0
P001,2022-02-25,478,7,0
P001,2022-02-26,466,12,0
P001,2022-02-27,456,10,0
P001,2022-02-28,448,8,0
P001,2022-03-01,720,8,0
P001,2022-03-02,712,8,0
P001,2022-03-03,704,8,0
P001,2022-03-04,697,7,0
P001,2022-03-05,685,12,0
P001,2022-03-06,676,9,0
P001,2022-03-07,671,5,0
P001,2022-03-08,664,7,0
P001,2022-03-09,658,6,0
P001,2022-03-10,651,7,0
P001,2022-03-11,646,5,0
P001,2022-03-12,631,15,0
P001,2022-03-13,621,10,0
P001,2022-03-14,614,7,0
P001,2022-03-15,606,8,0
P001,2022-03-16,599,7,0
P001,2022-03-17,592,7,0
P001,2022-03-18,588,4,0
P001,2022-03-19,578,10,0
P001,2022-03-20,568,10,0
P001,2022-03-21,559,9,0
P001,2022-03-22,555,4,0
P001,2022-03-23,547,8,0
P001,2022-03-24,543,4,0
P001,2022-03-25,537,6,0
P001,2022-03-26,530,7,0
P001,2022-03-27,522,8,0
P001,2022-03-28,515,7,0
P001,2022-03-29,510,5,0
P001,2022-03-30,503,7,0
P001,2022-03-31,497,6,0
P001,2022-04-01,770,7,0
P001,2022-04-02,761,9,0
P001,2022-04-03,753,8,0
P001,2022-04-04,748,5,0
P001,2022-04-05,740,8,0
P001,2022-04-06,729,11,0
P001,2022-04-07,724,5,0
P001,2022-04-08,715,9,0
P001,2022-04-09,700,15,0
P001,2022-04-10,685,15,0
P001,2022-04-11,680,5,0
P001,2022-04-12,672,8,0
P001,2022-04-13,662,10,0
P001,2022-04-14,653,9,0
P001,2022-04-15,645,8,0
P001,2022-04-16,635,10,0
P001,2022-04-17,620,15,0
P001,2022-04-18,612,8,0
P001,2022-04-19,607,5,0
P001,2022-04-20,596,11,0
P001,2022-04-21,589,7,0
P001,2022-04-22,578,11,0
P001,2022-04-23,570,8,0
P001,2022-04-24,556,14,0
P001,2022-04-25,551,5,0
P001,2022-04-26,545,6,0
P001,2022-04-27,538,7,0
P001,2022-04-28,527,11,0
P001,2022-04-29,518,9,0
P001,2022-04-30,508,10,0
P001,2022-05-01,772,16,0
P001,2022-05-02,762,10,0
P001,2022-05-03,754,8,0
P001,2022-05-04,743,11,0
P001,2022-05-05,737,6,0
P001,2022-05-06,732,5,0
P001,2022-05-07,724,8,0
P001,2022-05-08,705,19,0
P001,2022-05-09,700,5,0
