product_id,product_name,category,supplier,cost_price,sell_price,margin_pct,weight_kg,demand_rank
P001,Wireless Earbuds Pro,Audio,NovaTech Supply,14,49.99,72,0.15,1
P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,18,59.99,70,0.4,1
P003,Smart Watch Fitness,Wearables,NovaTech Supply,55,139.99,61,0.08,1
P004,Smart Plug 4-Pack,Smart Home,NovaTech Supply,11,34.99,69,0.25,2
P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,9.5,34.99,73,0.3,1
P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,12,39.99,70,0.8,1
P007,Webcam 1080p HD,Peripherals,TechCore Ltd,20,54.99,64,0.3,1
P008,Power Bank 20000mAh,Accessories,TechCore Ltd,15,21,29,0.45,1
P009,Desk Pad XL,Accessories,TechCore Ltd,10,29.99,67,0.6,2
P010,Noise Cancel Headphones,Audio,TechCore Ltd,48,67.2,29,0.28,2
P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,35,89.99,61,0.3,1
P012,Gaming Mouse RGB,Peripherals,EliteComponents,17,44.99,62,0.18,1
P013,Portable SSD 1TB,Storage,EliteComponents,40,89.99,56,0.1,2
P014,Docking Station USB-C,Accessories,EliteComponents,45,109.99,59,0.55,2
P015,Microphone USB Condenser,Audio,EliteComponents,42,99.99,58,0.55,3
P016,27in Monitor 4K,Displays,BrightGadgets,138,319.99,57,6.5,2
P017,Smart LED Desk Lamp,Lighting,BrightGadgets,14,42.99,67,0.9,3
P018,Action Camera 4K,Cameras,BrightGadgets,72,169.99,58,0.35,3
P019,Ring Light 10in,Lighting,BrightGadgets,19,54.99,65,1.2,3
P020,Laptop Cooling Pad,Accessories,BrightGadgets,11,32.99,67,0.7,3
P021,VR Headset Standalone,Gaming,BrightGadgets,140,299.99,53,0.65,4
P022,Laptop Sleeve 15in,Accessories,ValueSource Co,6,19.99,70,0.25,3
P023,Cable Management Kit,Accessories,ValueSource Co,3.8,12.99,71,0.3,3
P024,Phone Stand Adjustable,Accessories,ValueSource Co,2.8,9.99,72,0.15,2
P025,Screen Cleaning Kit,Accessories,ValueSource Co,1.5,7.99,81,0.1,2
P026,HDMI Cable 2m,Accessories,ValueSource Co,2.2,8.99,76,0.08,2
P027,Cable Clips Pack 50,Accessories,ValueSource Co,1,5.99,83,0.08,3
P028,Gaming Chair Ergonomic,Furniture,ValueSource Co,155,349.99,56,18,4
P029,Thermal Paste Premium,PC Parts,EliteComponents,3,9.99,70,0.05,4
P030,Webcam 4K Pro,Peripherals,TechCore Ltd,58,149.99,61,0.35,3
