order_id,customer_id,order_date,order_month,order_year,order_quarter,day_of_week,is_weekend,is_month_end,city,region,acquisition_channel,subtotal,shipping_cost,order_total,discount_pct,status,num_items
ORD0000001,CUS00001,2022-05-26,2022-05,2022,Q2,Thursday,False,True,Cardiff,Wales,Paid Social,118.48,9.85,128.33,0.25,Completed,2
ORD0000002,CUS00001,2022-06-14,2022-06,2022,Q2,Tuesday,False,False,Cardiff,Wales,Paid Social,49.99,9.21,59.2,0.0,Completed,1
ORD0000003,CUS00002,2024-07-29,2024-07,2024,Q3,Monday,False,True,Manchester,England,Organic,66.59,4.83,71.42,0.26,Completed,1
ORD0000004,CUS00002,2024-11-16,2024-11,2024,Q4,Saturday,True,False,Manchester,England,Organic,7.99,4.41,12.4,0.0,Completed,1
ORD0000005,CUS00002,2024-12-11,2024-12,2024,Q4,Wednesday,False,False,Manchester,England,Organic,144.98,5.99,150.97,0.0,Completed,2
ORD0000006,CUS00003,2023-08-27,2023-08,2023,Q3,Sunday,True,True,Sheffield,England,Paid Social,9.37,5.54,14.91,0.2,Completed,1
ORD0000007,CUS00004,2024-06-07,2024-06,2024,Q2,Friday,False,False,Birmingham,England,Paid Social,102.28,5.46,107.74,0.07,Completed,1
ORD0000008,CUS00005,2024-12-20,2024-12,2024,Q4,Friday,False,False,London,England,Google Ads,34.99,4.43,39.42,0.0,Completed,1
ORD0000009,CUS00006,2023-11-26,2023-11,2023,Q4,Sunday,True,True,Leeds,England,Referral,226.78,4.84,231.62,0.19,Completed,1
ORD0000010,CUS00007,2023-11-02,2023-11,2023,Q4,Thursday,False,False,London,England,Google Ads,122.98,5.9,128.88,0.0,Completed,2
ORD0000011,CUS00007,2024-02-09,2024-02,2024,Q1,Friday,False,False,London,England,Google Ads,171.67,6.34,178.01,0.0,Completed,4
ORD0000012,CUS00007,2024-04-07,2024-04,2024,Q2,Sunday,True,False,London,England,Google Ads,209.97,7.05,217.02,0.0,Completed,2
ORD0000013,CUS00007,2024-05-27,2024-05,2024,Q2,Monday,False,True,London,England,Google Ads,10.07,4.75,14.82,0.14,Returned,1
ORD0000014,CUS00008,2022-05-21,2022-05,2022,Q2,Saturday,True,False,Cardiff,Wales,Google Ads,8.99,9.07,18.06,0.0,Completed,1
ORD0000015,CUS00009,2023-01-20,2023-01,2023,Q1,Friday,False,False,London,England,Direct,925.95,31.6,957.55,0.0,Completed,3
ORD0000016,CUS00010,2023-11-01,2023-11,2023,Q4,Wednesday,False,False,London,England,Paid Social,89.99,5.06,94.42,0.0,Completed,1
ORD0000017,CUS00011,2024-04-24,2024-04,2024,Q2,Wednesday,False,True,London,England,Paid Social,287.07,6.0,293.07,0.13,Completed,3
ORD0000018,CUS00012,2024-08-20,2024-08,2024,Q3,Tuesday,False,False,Sheffield,England,Paid Social,85.98,8.38,94.36,0.0,Completed,1
ORD0000019,CUS00013,2023-06-23,2023-06,2023,Q2,Friday,False,False,Leeds,England,Paid Social,59.99,5.34,65.33,0.0,Completed,1
ORD0000020,CUS00013,2023-07-17,2023-07,2023,Q3,Monday,False,False,Leeds,England,Paid Social,54.99,5.13,60.12,0.0,Returned,1
ORD0000021,CUS00013,2023-08-31,2023-08,2023,Q3,Thursday,False,True,Leeds,England,Paid Social,35.98,5.13,41.11,0.2,Completed,2
ORD0000022,CUS00013,2023-09-14,2023-09,2023,Q3,Thursday,False,False,Leeds,England,Paid Social,21.7,5.76,27.46,0.0,Completed,2
ORD0000023,CUS00013,2023-11-26,2023-11,2023,Q4,Sunday,True,True,Leeds,England,Paid Social,8.67,5.45,14.12,0.26,Completed,1
ORD0000024,CUS00013,2024-02-22,2024-02,2024,Q1,Thursday,False,False,Leeds,England,Paid Social,402.97,44.3,447.27,0.0,Completed,3
ORD0000025,CUS00013,2024-03-07,2024-03,2024,Q1,Thursday,False,False,Leeds,England,Paid Social,99.98,5.13,105.11,0.0,Completed,2
