item_id,order_id,product_id,product_name,category,supplier,qty,unit_price,discount_pct,discounted_price,line_total,cost_price,weight_kg,order_date,order_status
ITM0000001,ORD0000001,P030,Webcam 4K Pro,Peripherals,TechCore Ltd,1,149.99,0.25,112.49,112.49,58.0,0.35,2022-05-26,Completed
ITM0000002,ORD0000001,P025,Screen Cleaning Kit,Accessories,ValueSource Co,1,7.99,0.25,5.99,5.99,1.5,0.1,2022-05-26,Completed
ITM0000003,ORD0000002,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.0,49.99,49.99,14.0,0.15,2022-06-14,Completed
ITM0000004,ORD0000003,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.26,66.59,66.59,35.0,0.3,2024-07-29,Completed
ITM0000005,ORD0000004,P025,Screen Cleaning Kit,Accessories,ValueSource Co,1,7.99,0.0,7.99,7.99,1.5,0.1,2024-11-16,Completed
ITM0000006,ORD0000005,P014,Docking Station USB-C,Accessories,EliteComponents,1,109.99,0.0,109.99,109.99,45.0,0.55,2024-12-11,Completed
ITM0000007,ORD0000005,P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,1,34.99,0.0,34.99,34.99,9.5,0.3,2024-12-11,Completed
ITM0000008,ORD0000006,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.2,9.37,9.37,15.0,0.45,2023-08-27,Completed
ITM0000009,ORD0000007,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,2,54.99,0.07,51.14,102.28,20.0,0.3,2024-06-07,Completed
ITM0000010,ORD0000008,P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,1,34.99,0.0,34.99,34.99,9.5,0.3,2024-12-20,Completed
ITM0000011,ORD0000009,P003,Smart Watch Fitness,Wearables,NovaTech Supply,2,139.99,0.19,113.39,226.78,55.0,0.08,2023-11-26,Completed
ITM0000012,ORD0000010,P013,Portable SSD 1TB,Storage,EliteComponents,1,89.99,0.0,89.99,89.99,40.0,0.1,2023-11-02,Completed
ITM0000013,ORD0000010,P020,Laptop Cooling Pad,Accessories,BrightGadgets,1,32.99,0.0,32.99,32.99,11.0,0.7,2023-11-02,Completed
ITM0000014,ORD0000011,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2024-02-09,Completed
ITM0000015,ORD0000011,P012,Gaming Mouse RGB,Peripherals,EliteComponents,2,44.99,0.0,44.99,89.98,17.0,0.18,2024-02-09,Completed
ITM0000016,ORD0000011,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.0,49.99,49.99,14.0,0.15,2024-02-09,Completed
ITM0000017,ORD0000011,P022,Laptop Sleeve 15in,Accessories,ValueSource Co,1,19.99,0.0,19.99,19.99,6.0,0.25,2024-02-09,Completed
ITM0000018,ORD0000012,P009,Desk Pad XL,Accessories,TechCore Ltd,2,29.99,0.0,29.99,59.98,10.0,0.6,2024-04-07,Completed
ITM0000019,ORD0000012,P030,Webcam 4K Pro,Peripherals,TechCore Ltd,1,149.99,0.0,149.99,149.99,58.0,0.35,2024-04-07,Completed
ITM0000020,ORD0000013,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.14,10.07,10.07,15.0,0.45,2024-05-27,Returned
ITM0000021,ORD0000014,P026,HDMI Cable 2m,Accessories,ValueSource Co,1,8.99,0.0,8.99,8.99,2.2,0.08,2022-05-21,Completed
ITM0000022,ORD0000015,P016,27in Monitor 4K,Displays,BrightGadgets,2,319.99,0.0,319.99,639.98,138.0,6.5,2023-01-20,Completed
ITM0000023,ORD0000015,P027,Cable Clips Pack 50,Accessories,ValueSource Co,1,5.99,0.0,5.99,5.99,1.0,0.08,2023-01-20,Completed
ITM0000024,ORD0000015,P003,Smart Watch Fitness,Wearables,NovaTech Supply,2,139.99,0.0,139.99,279.98,55.0,0.08,2023-01-20,Completed
ITM0000025,ORD0000016,P013,Portable SSD 1TB,Storage,EliteComponents,1,89.99,0.0,89.99,89.99,40.0,0.1,2023-11-01,Completed
ITM0000026,ORD0000017,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.13,43.49,43.49,14.0,0.15,2024-04-24,Completed
ITM0000027,ORD0000017,P014,Docking Station USB-C,Accessories,EliteComponents,1,109.99,0.13,95.69,95.69,45.0,0.55,2024-04-24,Completed
ITM0000028,ORD0000017,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.13,147.89,147.89,72.0,0.35,2024-04-24,Completed
