return_id,order_id,item_id,product_id,product_name,supplier,category,return_date,return_reason,refund_amount,qty_returned
RET000001,ORD0000013,ITM0000020,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2024-06-07,Defective/Not Working,9.96,1
RET000002,ORD0000020,ITM0000031,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2023-08-09,Defective/Not Working,50.29,1
RET000003,ORD0000045,ITM0000068,P019,Ring Light 10in,BrightGadgets,Lighting,2024-03-17,Changed Mind,54.96,1
RET000004,ORD0000045,ITM0000069,P011,Mechanical Keyboard TKL,EliteComponents,Peripherals,2024-03-06,Wrong Item Sent,174.35,2
RET000005,ORD0000057,ITM0000089,P024,Phone Stand Adjustable,Value Source Co,Accessories,2022-12-16,Wrong Item Sent,7.97,1
RET000006,ORD0000057,ITM0000090,P015,Microphone USB Condenser,Elite Components,Audio,2022-12-23,Defective/Not Working,86.55,1
RET000007,ORD0000068,ITM0000109,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2023-01-06,Defective/Not Working,1414.36,1
RET000008,ORD0000068,ITM0000110,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2022-12-26,Arrived Damaged,39.03,1
RET000009,ORD0000076,ITM0000121,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2023-06-22,Defective/Not Working,138.5,1
RET000010,ORD0000090,ITM0000142,P011,Mechanical Keyboard TKL,EliteComponents,Peripherals,2023-10-02,Wrong Item Sent,80.99,1
RET000011,ORD0000109,ITM0000175,P009,Desk Pad XL,TechCore Ltd,Accessories,2022-10-28,Poor Quality,24.11,1
RET000012,ORD0000110,ITM0000176,P012,Gaming Mouse RGB,Elite components,Peripherals,2022-12-08,Changed Mind,42.85,1
RET000013,ORD0000128,ITM0000207,P029,Thermal Paste Premium,EliteComponents,PC Parts,2024-11-24,Defective/Not Working,9.61,1
RET000014,ORD0000128,ITM0000208,P016,27in Monitor 4K,BrightGadgets,Displays,2024-12-10,Changed Mind,950.58,3
